,pct_change,acc_pct_change,pos_change_in_a_row,neg_change_in_a_row,RSI_14,Close_Minus_SuperTrend,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Close_Minus_EMA_200,Close_Minus_EMA_100,Close_Minus_EMA_50,Close_Minus_EMA_20,IS_EMA_Ribbon,Minute_Number,is_win
10275,0.001,0.013000000000000001,1,0,59.31,0.17999999999999972,0.025,0.007,0.018,0.426,0.231,0.124,0.07,1,58.0,1
10276,0.001,0.014000000000000002,2,0,60.22,0.1899999999999995,0.028,0.008,0.02,0.432,0.236,0.129,0.072,1,59.0,1
10277,-0.002,-0.002,0,1,57.46,0.15000000000000036,0.029,0.007,0.022,0.408,0.212,0.105,0.047,1,60.0,1
10278,0.001,0.001,1,0,58.48,0.16000000000000014,0.03,0.007,0.023,0.413,0.217,0.11,0.052,1,61.0,1
10279,0.002,0.003,2,0,60.53,0.16999999999999993,0.032,0.007,0.025,0.429,0.233,0.125,0.065,1,62.0,1
10280,0.002,0.005,3,0,62.52,0.19000000000000128,0.035,0.008,0.027,0.445,0.248,0.139,0.077,1,63.0,0
10281,0.001,0.006,4,0,63.51,0.19000000000000128,0.037,0.008,0.029,0.45,0.252,0.144,0.079,1,64.0,0
10282,-0.002,-0.002,0,1,60.09,0.16000000000000014,0.037,0.007,0.031,0.426,0.228,0.119,0.053,1,65.0,0
10283,0.003,0.003,1,0,63.28,0.19000000000000128,0.039,0.007,0.032,0.451,0.253,0.143,0.075,1,66.0,0
10284,0.006,0.009000000000000001,2,0,67.89,0.1999999999999993,0.045,0.01,0.035,0.496,0.297,0.185,0.113,1,67.0,0
10285,-0.003,-0.003,0,1,62.8,0.16000000000000014,0.046,0.009,0.037,0.462,0.261,0.149,0.075,1,68.0,0
10286,0.001,0.001,1,0,63.77,0.16000000000000014,0.047,0.008,0.039,0.467,0.266,0.153,0.077,1,69.0,0
10287,0.006,0.007,2,0,68.26,0.19000000000000128,0.051,0.01,0.041,0.512,0.31,0.195,0.115,1,70.0,0
10288,-0.006,-0.006,0,1,60.23,0.14000000000000057,0.05,0.007,0.043,0.457,0.255,0.139,0.059,1,71.0,0
10289,-0.001,-0.007,0,2,58.74,0.13000000000000078,0.048,0.004,0.044,0.443,0.24,0.124,0.044,1,72.0,0
10290,-0.002,-0.009000000000000001,0,3,55.77,0.11000000000000121,0.044,-0.0,0.044,0.419,0.215,0.1,0.022,1,73.0,0
10291,0.001,0.001,1,0,56.95,0.120000000000001,0.041,-0.002,0.043,0.424,0.221,0.106,0.029,1,74.0,0
10292,-0.002,-0.002,0,1,53.87,0.10000000000000142,0.037,-0.005,0.042,0.4,0.197,0.083,0.008,1,75.0,0
10293,-0.001,-0.003,0,2,52.35,0.09000000000000163,0.032,-0.008,0.04,0.386,0.183,0.07,-0.002,1,76.0,0
10294,-0.007,-0.01,0,3,44.27,0.030000000000001137,0.024,-0.013,0.037,0.323,0.121,0.009,-0.056,1,77.0,1
10295,0.006,0.006,1,0,51.05,0.08000000000000007,0.02,-0.013,0.034,0.369,0.168,0.057,-0.005,1,78.0,0
10296,0.0,0.006,0,0,68.95,0.3200000000000003,0.035,0.001,0.034,0.584,0.38,0.266,0.194,1,1.0,1
10297,0.009,0.015,1,0,72.84,0.35999999999999943,0.053,0.015,0.038,0.657,0.451,0.333,0.248,1,2.0,1
10298,0.014,0.028999999999999998,2,0,77.72,0.4300000000000015,0.077,0.031,0.045,0.779,0.569,0.444,0.342,1,3.0,1
10299,0.023,0.052,3,0,83.03,0.5099999999999998,0.111,0.052,0.059,0.979,0.764,0.629,0.5,1,4.0,0
10300,0.0,0.052,0,0,83.03,0.4599999999999991,0.137,0.062,0.074,0.97,0.749,0.604,0.452,1,5.0,0
10301,-0.001,-0.001,0,1,81.95,0.40000000000000036,0.154,0.064,0.09,0.95,0.724,0.571,0.4,1,6.0,0
10302,-0.003,-0.004,0,2,78.65,0.3600000000000012,0.164,0.059,0.105,0.911,0.68,0.52,0.335,1,7.0,0
10303,0.002,0.002,1,0,79.25,0.3800000000000008,0.171,0.053,0.118,0.922,0.686,0.518,0.321,1,8.0,0
